Record Level,Category,Title,Number/Record,Name,School,Year(s),Gender
State Tournament,Game,Longest State Tournament Game,23 inns,-,Surrattsville (2) vs. North Carroll (1),1989,Girls
Season,Team,Eugene Robertson Sportsmanship Award,-,-,Henry E. Lackey,1997,Girls
Season,Team,Eugene Robertson Sportsmanship Award,-,-,Eleanor Roosevelt,1998,Girls
Season,Team,Eugene Robertson Sportsmanship Award,-,-,Catoctin,1999,Girls
Season,Team,Eugene Robertson Sportsmanship Award,-,-,Catonsville,2000,Girls
Season,Team,Eugene Robertson Sportsmanship Award,-,-,Northeast-AA,2001,Girls
Season,Team,Eugene Robertson Sportsmanship Award,-,-,Catoctin,2002,Girls
Season,Team,Eugene Robertson Sportsmanship Award,-,-,Dulaney & North County,2003,Girls
Season,Team,Eugene Robertson Sportsmanship Award,-,-,Glenelg & Hereford,2004,Girls
Season,Team,Eugene Robertson Sportsmanship Award,-,-,Tuscarora,2005,Girls
Season,Team,Eugene Robertson Sportsmanship Award,-,-,Huntingtown,2006,Girls
Season,Team,Eugene Robertson Sportsmanship Award,-,-,Hereford,2007,Girls
Season,Team,Eugene Robertson Sportsmanship Award,-,-,Franklin,2008,Girls
Season,Team,Eugene Robertson Sportsmanship Award,-,-,North Carroll,2009,Girls
Season,Team,Eugene Robertson Sportsmanship Award,-,-,Easton,2010,Girls
Season,Team,Eugene Robertson Sportsmanship Award,-,-,C. Milton Wright,2011,Girls
Season,Team,Eugene Robertson Sportsmanship Award,-,-,Lansdowne,2012,Girls
Season,Team,Eugene Robertson Sportsmanship Award,-,-,River Hill,2013,Girls
Season,Team,Eugene Robertson Sportsmanship Award,-,-,Bohemia Manor,2014,Girls
Season,Team,Eugene Robertson Sportsmanship Award,-,-,Leonardtown,2015,Girls
Season,Team,Eugene Robertson Sportsmanship Award,-,-,Montgomery Blair,2016,Girls
Season,Team,Eugene Robertson Sportsmanship Award,-,-,Pikesville,2017,Girls
Season,Team,Eugene Robertson Sportsmanship Award,-,-,Reservoir,2018,Girls
Season,Team,Eugene Robertson Sportsmanship Award,-,-,Walt Whitman,2019,Girls
Season,Team,Eugene Robertson Sportsmanship Award,-,-,Reservoir,2021,Girls
Season,Team,Eugene Robertson Sportsmanship Award,-,-,Century,2022,Girls
Season,Team,Eugene Robertson Sportsmanship Award,-,-,Damascus,2022,Girls
Season,Team,Eugene Robertson Sportsmanship Award,-,-,Dulaney,2023,Girls
Career,Pitching,Wins,88,Megan Elliott,Calvert,2003-06,Girls
Career,Pitching,Perfect Games,12,Megan Elliott,Calvert,2003-06,Girls
Career,Pitching,ERA,0.1,Megan Elliott,Calvert,2003-06,Girls
Career,Pitching,Shutouts,76,Megan Elliott,Calvert,2003-06,Girls
Career,Pitching,No-Hitters,32,Megan Elliott,Calvert,2003-06,Girls
Career,Pitching,Strikeouts,"1,361",Stephanie Speierman,Hammond,2006-09,Girls
Season,Pitching,Wins,23,Candice Rice,Northern-Calvert,1996,Girls
Season,Pitching,Wins,23,Amy Burdette,Walkersville,1999,Girls
Season,Pitching,Wins,23,Megan Elliott,Calvert,2005,Girls
Season,Pitching,Wins,23,Stephanie Speierman,Hammond,2007,Girls
Season,Pitching,Perfect Games,6,Marci Whitehead,Damascus,1992,Girls
Season,Pitching,ERA,0,Michelle Collins,Surrattsville,1990,Girls
Season,Pitching,ERA,0,Marci Whitehead,Damascus,1992,Girls
Season,Pitching,ERA ,0,Amy Burdette,Walkersville,1998,Girls
Season,Pitching,ERA,0,Melanie Mitchell,McDonough,2009,Girls
Season,Pitching,ERA,0,Jessica Cummings,Northern-Calvert,2013,Girls
Season,Pitching,ERA,0,Madison Penta,Bohemia Manor,2017,Girls
Season,Pitching,Shutouts,21,Megan Elliott,Calvert,2003,Girls
Season,Pitching,Shutouts,21,Jessica Cummings,Northern-Calvert,2013,Girls
Season,Pitching,No-Hitters,15,Marci Whitehead,Damascus,1991,Girls
Season,Pitching,Strikeouts,426,Stephanie Speierman,Hammond,2007,Girls
Career,Offense,Runs Scored,160,Lindsey Schmeiser,Northern-Calvert,2009-12,Girls
Career,Offense,Hits,185,Campbell Kline,Severna Park,2016-19,Girls
Career,Offense,Home Runs,39,Nicole Stockinger,Sherwood,2012-15,Girls
Career,Offense,Triples,24,Ashley Prince,Northeast-AA,2012-15,Girls
Career,Offense,Doubles,44,Haley Downin,Chesapeake-AA,2016-19,Girls
Career,Offense,RBI’s,165,Toni Staunton,Northwestern-PG,1984-87,Girls
Career,Offense,Walks,104,Stephanie Speierman,Hammond,2006-09,Girls
Career,Offense,Stolen Bases,121,Sydney Goertzen,Mardela,2014-17,Girls
Career,Offense,Sacrifices,27,Candi Schmidt,Northeast-AA,1985-88,Girls
Season,Offense,Runs Scored,59,Lindsey Schmeiser,Northern-Calvert,2012,Girls
Season,Offense,Hits,69,Campbell Kline,Severna Park,2018,Girls
Season,Offense,Home Runs,16,Jessi Bryant,Catoctin,2016,Girls
Season,Offense,Triples,10,Lauren Marcotte,Centennial,2017,Girls
Season,Offense,Doubles,18,Courtney Johnson,Reservoir,2023,Girls
Season,Offense,RBI’s,59,Breanna Casper,Eastern Technical,2014,Girls
Season,Offense,Walks,37,Stephanie Speierman,Hammond,2007,Girls
Season,Offense,Stolen Bases,65,Caitlyn Cornwell,Northeast-AA,2023,Girls
Season,Offense,Sacrifices,14,Candi Schmidt,Northeast-AA,1987,Girls
